globaleventid	sqldate	monthyear	year	fractiondate	actor1code	actor1name	actor1countrycode	actor1knowngroupcode	actor1ethniccode	actor1religion1code	actor1religion2code	actor1type1code	actor1type2code	actor1type3code	actor2code	actor2name	actor2countrycode	actor2knowngroupcode	actor2ethniccode	actor2religion1code	actor2religion2code	actor2type1code	actor2type2code	actor2type3code	isrootevent	eventcode	eventbasecode	eventrootcode	quadclass	goldsteinscale	nummentions	numsources	numarticles	avgtone	actor1geo_type	actor1geo_fullname	actor1geo_countrycode	actor1geo_adm1code	actor1geo_lat	actor1geo_long	actor1geo_featureid	actor2geo_type	actor2geo_fullname	actor2geo_countrycode	actor2geo_adm1code	actor2geo_lat	actor2geo_long	actor2geo_featureid	actiongeo_type	actiongeo_fullname	actiongeo_countrycode	actiongeo_adm1code	actiongeo_lat	actiongeo_long	actiongeo_featureid	dateadded	sourceurl	record	url	authors	keywords	eventcode_1	eventdesc_1	eventbase	eventbasedesc	eventroot	eventrootdesc
515209008	20160225	201602	2016	2016.1507	don	DONG			don						BUS	BUSINESS						BUS			1	040	040	04	1	1.0	4	1	4	0.72815533980583	4	Ankara, Ankara, Turkey	TU	TU68	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	39.9272	32.8644	-735338	20160225	http://senegal-actu.com/2016/02/lg-g5-vs-samsung-galaxy-s7-why-g5-wins/	115	http://senegal-actu.com/2016/02/lg-g5-vs-samsung-galaxy-s7-why-g5-wins/	['Julian Swanson']	['wins', 'vs', 'g5', 'phone', 'lg', 'screen', 'samsung', '360', 'smartphones', 'galaxy', 'camera', 's7', 'iphone', 'edge']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
515253801	20160225	201602	2016	2016.1507	ISR	ISRAELI	ISR								USA	UNITED STATES	USA								1	130	130	13	3	-4.4	2	1	2	-4.04964075767472	1	Israel	IS	IS	31.5	34.75	IS	1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20160225	http://www.american-reporter.com/5,374/22.html	116	http://www.american-reporter.com/5,374/22.html	[]	['dummerston', 'holhut', 'hotels', 'american', '2008', 'randolph', 'joyce', 'newspaper', 'iraq', 'president', 'marcel', 'york', 'vt', 'reporter', 'daily', 'ga']	130	Threaten, not specified below	130	Threaten, not specified below	130	Threaten, not specified below
498450682	20151231	201512	2015	2015.9890	AUS	AUSTRALIA	AUS																		1	071	071	07	2	7.4	12	2	12	-4.65381589299765	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	0							4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	20151231	http://www.news.com.au/national/northern-territory/former-nt-police-commissioner-faces-losing-his-australian-police-medal-over-xana-kamitsis-fraud-affair/news-story/6219c279a65af9fea35dc5a49b4cc6cb	263	http://www.news.com.au/national/northern-territory/former-nt-police-commissioner-faces-losing-his-australian-police-medal-over-xana-kamitsis-fraud-affair/news-story/6219c279a65af9fea35dc5a49b4cc6cb	['Craig Dunlop']	['chandler', 'minister', 'xana', 'nt', 'kamitsis', 'commissioner', 'faces', 'australian', 'governorgeneral', 'seek', 'advice', 'mcroberts', 'losing', 'affair', 'mr', 'harvey', 'fraud', 'stripped', 'medal']	071	Provide economic aid	071	Provide economic aid	071	Provide economic aid
502300701	20160114	201601	2016	2016.0384	JUD	JUDGE						JUD			CRM	CRIMINAL						CRM			1	080	080	08	2	5.0	5	1	5	-8.38323353293413	0							0							0							20160114	http://www.cumbriacrack.com/2016/01/14/duo-jailed-for-money-laundering/					080	Yield, not specified below 	080	Yield, not specified below 	080	Yield, not specified below 
517545429	20160303	201603	2016	2016.1726	BUS	ENTREPRENEUR						BUS			LVAGOV	LATVIAN	LVA					GOV			0	040	040	04	1	1.0	6	1	6	1.99430199430199	4	Riga, Riga, Latvia	LG	LG25	56.95	24.1	-3212216	4	Riga, Riga, Latvia	LG	LG25	56.95	24.1	-3212216	4	Riga, Riga, Latvia	LG	LG25	56.95	24.1	-3212216	20160303	http://baltic-review.com/latvian-diaspora/	118	http://baltic-review.com/latvian-diaspora/	['The Baltic Review', 'The Independent Newspaper The Baltics - For The World']	['hard', 'riga', 'latvia', 'contributes', 'british', 'eu', 'london', 'uk', 'latvias', 'economy', 'embassy', 'diaspora', 'latvian', 'soviet', 'works']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
519615865	20160310	201603	2016	2016.1918											USA	JACKSONVILLE	USA								1	057	057	05	1	8.0	4	1	4	-0.9493670886076	0							3	Oakland, California, United States	US	USCA	37.8044	-122.271	277566	3	Oakland, California, United States	US	USCA	37.8044	-122.271	277566	20160310	http://dawgpounddaily.com/2016/03/09/report-tashaun-gipson-to-sign-with-jacksonville-jaguars/	175	http://dawgpounddaily.com/2016/03/09/report-tashaun-gipson-to-sign-with-jacksonville-jaguars/	['Matt Stevenson', 'Steven Kubitza']	['schwartz', 'gipson', 'sign', 'wanted', 'mack', 'team', 'tashaun', 'jaguars', 'benjamin', 'cleveland', 'report', 'browns', 'jacksonville', 'free']	057	Sign formal agreement	057	Sign formal agreement	057	Sign formal agreement
530673370	20160414	201604	2016	2016.2849	CVL	VOTER						CVL													1	040	040	04	1	1.0	6	1	6	0.958904109589039	3	Miller Branch, Maryland, United States	US	USMD	38.171	-75.5452	585883	0							3	Miller Branch, Maryland, United States	US	USMD	38.171	-75.5452	585883	20160414	http://www.baltimoresun.com/news/maryland/howard/ellicott-city/ph-ho-cf-early-voting-0421-20160414-story.html	120	http://www.baltimoresun.com/news/maryland/howard/ellicott-city/ph-ho-cf-early-voting-0421-20160414-story.html	['Andrew Michaels']	['opposite', 'increase', 'historically', 'think', 'locations', 'early', 'registration', 'days', 'lowest', 'county', 'voting', 'slowly', 'howard', 'weekend', 'usually', 'continue', 'turnout']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
532825737	20160421	201604	2016	2016.3041	COP	PRISON						COP			GOVUAF	REGIME						GOV	UAF		1	080	080	08	2	5.0	80	8	80	-10.6019079644215	4	Hasakeh, Al ?asakah, Syria	SY	SY01	36.5024	40.7477	-2538087	4	Hasakeh, Al ?asakah, Syria	SY	SY01	36.5024	40.7477	-2538087	4	Hasakeh, Al ?asakah, Syria	SY	SY01	36.5024	40.7477	-2538087	20160421	http://reliefweb.int/report/syrian-arab-republic/50-regime-forces-surrender-kurds-northeast-syria					080	Yield, not specified below 	080	Yield, not specified below 	080	Yield, not specified below 
541747851	20160519	201605	2016	2016.3808	KOR	SEOUL	KOR								IRN	IRANIAN	IRN								1	040	040	04	1	1.0	8	1	8	3	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	37.5664	127	-716583	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20160519	http://world.kbs.co.kr/english/news/news_Po_detail.htm?No=119108	121	http://world.kbs.co.kr/english/news/news_Po_detail.htm?No=119108	[]	[]	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
550805227	20160616	201606	2016	2016.4548											AFR	AFRICA	AFR								1	130	130	13	3	-4.4	2	1	2	-6.00558659217877	0							1	United States	US	US	38	-97	US	1	United States	US	US	38	-97	US	20160616	http://www.byronnews.com.au/news/reeva-steenkamp-graphic-images-dead-body-released/3046135/	124	http://www.byronnews.com.au/news/reeva-steenkamp-graphic-images-dead-body-released/3046135/	['Council News']	['dead', 'steenkamps', 'images', 'released', 'graphic', 'murder', 'reeva', 'pistorius', 'pictures', 'release', 'body', 'steenkamp', 'court', 'warning']	130	Threaten, not specified below	130	Threaten, not specified below	130	Threaten, not specified below
427727366	20150423	201504	2015	2015.3096	IGOUNOBUS	INTERNATIONAL CIVIL AVIATION ORGANIZATION		UNO				IGO	BUS		CHN	BEIJING	CHN								1	013	013	01	1	0.4	21	5	15	0.282502443792766	4	Beidou, Anhui, China	CH	CH01	31.0409	118.449	10555108	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20150423	http://www.business-standard.com/article/pti-stories/china-s-satellite-navigation-system-to-expand-coverage-by-2020-115042300155_1.html	154	http://www.business-standard.com/article/pti-stories/china-s-satellite-navigation-system-to-expand-coverage-by-2020-115042300155_1.html	['Press Trust Of India']	['chinas', 'expand', 'system', 'gps', 'general', '2020', 'civil', 'coverage', 'aviation', 'li', 'beidou', 'satellite', 'international', 'navigation']	013	Make optimistic comment	013	Make optimistic comment	013	Make optimistic comment
425807343	20150416	201504	2015	2015.2904	IGOAFRAFU	AFRICAN UNION	AFR					IGO			AFR	AFRICA	AFR								0	057	057	05	1	8.0	8	4	8	-2.17201110097653	3	World Bank, District of Columbia, United States	US	USDC	38.899	-77.0422	2002658	3	World Bank, District of Columbia, United States	US	USDC	38.899	-77.0422	2002658	3	World Bank, District of Columbia, United States	US	USDC	38.899	-77.0422	2002658	20150416	http://www.gbooza.com/group/insideafrica/forum/topics/obama-ebola-still-a-danger					057	Sign formal agreement	057	Sign formal agreement	057	Sign formal agreement
435095167	20150521	201505	2015	2015.3863	LAB	WORKER						LAB			USA	NEW YORK	USA								1	057	057	05	1	8.0	5	1	5	-3.125	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20150521	http://boingboing.net/2015/05/21/mark-zuckerberg-just-dropped-a.html	155	http://boingboing.net/2015/05/21/mark-zuckerberg-just-dropped-a.html	['Cory Doctorow']	['privacy', 'sit', 'valley', 'workers', 'protect', 'dropped', 'house', 'zuckerberg', 'theyre', 'room', 'mark', 'addition', '100m', 'facebook']	057	Sign formal agreement	057	Sign formal agreement	057	Sign formal agreement
429749993	20150430	201504	2015	2015.3288	RUSMED	RUSSIA	RUS					MED													1	080	080	08	2	5.0	4	2	4	-5.90233691362685	1	Russia	RS	RS	60	100	RS	0							1	Russia	RS	RS	60	100	RS	20150430	http://www.rferl.org/content/russia-rosneft-roskomnadzor-sechin/26987551.html	74	http://www.rferl.org/content/russia-rosneft-roskomnadzor-sechin/26987551.html	['Rfe Rl']	['account', 'russian', 'tj', 'lampooning', 'sechin', 'confidant', 'blocks', 'twitter', 'putin', 'media', 'russia', 'blocked', 'roskomnadzor', 'violated']	080	Yield, not specified below 	080	Yield, not specified below 	080	Yield, not specified below 
442060934	20150618	201506	2015	2015.4603	GOV	GOVERNMENT						GOV			USA	UNITED STATES	USA								1	0831	083	08	2	5.0	1	1	1	-0.48309178743962	2	Texas, United States	US	USTX	31.106	-97.6475	TX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	2	Texas, United States	US	USTX	31.106	-97.6475	TX	20150618	http://www.newsmax.com/TheWire/supreme-court-confederate-flag-license-plates/2015/06/18/id/651211/	486	http://www.newsmax.com/TheWire/supreme-court-confederate-flag-license-plates/2015/06/18/id/651211/	['Kathryn Blackhurst']	['states', 'license', 'rejected', 'supreme', 'specialty', 'according', 'confederate', 'private', 'texas', 'public', 'opinion', 'plates', 'court', 'flag', 'speech']	0831	Accede to demands for change in leadership	0831	Accede to demands for change in leadership	0831	Accede to demands for change in leadership
445518234	20150702	201507	2015	2015.4986											AFR	AFRICA	AFR								1	112	112	11	3	-2.0	8	1	8	-4.8	0							4	Mossel Bay, Western Cape, South Africa	SF	SF11	-34.1831	22.146	-1262929	4	Mossel Bay, Western Cape, South Africa	SF	SF11	-34.1831	22.146	-1262929	20150702	http://ewn.co.za/2015/07/02/Rapcan-criticises-govts-slow-response-to-child-abuse-cases	352	http://ewn.co.za/2015/07/02/Rapcan-criticises-govts-slow-response-to-child-abuse-cases	['Shamiela Fisher']	['daughter', 'allegedly', 'response', 'initiative', 'slow', 'man', 'children', 'rights', 'childrens', 'abuse', 'cape', 'child', 'cases', 'resources', 'criticises', 'rapcan']	112	Accuse, not specified below	112	Accuse, not specified below	112	Accuse, not specified below
467889730	20150917	201509	2015	2015.7041	IGODEVIAD	IGAD		IAD				IGO	DEV		SSD	SOUTH SUDAN	SSD								1	112	112	11	3	-2.0	8	1	8	-9.01803607214425	4	Khartoum, Al Khartum, Sudan	SU	SU29	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	15.5881	32.5342	-1987	4	Khartoum, Al Khartum, Sudan	SU	SU29	15.5881	32.5342	-1987	20150917	http://news.xinhuanet.com/english/2015-09/18/c_134635033.htm					112	Accuse, not specified below	112	Accuse, not specified below	112	Accuse, not specified below
449785555	20150716	201507	2015	2015.5370	CRM	THIEVES						CRM													1	040	040	04	1	1.0	10	1	10	-0.12853470437018	1	United States	US	US	38	-97	US	0							1	United States	US	US	38	-97	US	20150716	http://www.fwweekly.com/2015/07/16/mini-marvel/	77	http://www.fwweekly.com/2015/07/16/mini-marvel/	['Kristian Lin', 'Richard Denniston', 'Joseph Rafael Quevedo', 'Kitt Carson']	['scotts', 'scott', 'rudd', 'marvel', 'suit', 'cross', 'wright', 'mini', 'hank', 'antman', 'movie']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
471862804	20151001	201510	2015	2015.7425	LUXGOV	JEAN CLAUDE JUNCKER	LUX					GOV													1	084	084	08	2	7.0	2	1	2	-4.69565217391304	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	50.8333	4.33333	-1955538	0							1	Ireland	EI	EI	53	-8	EI	20151001	http://www.businesstimes.com.sg/government-economy/juncker-releases-18-year-old-page-cautioning-about-tax-rulings	81	http://www.businesstimes.com.sg/government-economy/juncker-releases-18-year-old-page-cautioning-about-tax-rulings	[]	['cautioning', 'minister', 'parliament', 'releases', 'european', 'released', 'letter', 'page', 'special', 'juncker', 'tax', 'mr', 'rulings', '18yearold']	084	Return, release, not specified below	084	Return, release, not specified below	084	Return, release, not specified below
455644398	20150707	201507	2015	2015.5123	GOVEDU	DEPARTMENT OF EDUCATION						GOV	EDU		HLH	DOCTOR						HLH			0	040	040	04	1	1.0	6	1	6	-6.11702127659575	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	-29.85	31.0167	-1224926	20150806	http://www.iol.co.za:80/news/south-africa/kwazulu-natal/teacher-fired-after-breakdown-reinstated-1.1896582	78	http://www.iol.co.za:80/news/south-africa/kwazulu-natal/teacher-fired-after-breakdown-reinstated-1.1896582	[]	['suffering', 'medical', 'teacher', 'decision', 'share', 'head', 'work', 'breakdown', 'nhlebela', 'told', 'fired', 'department', 'reinstated']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
474334159	20150908	201509	2015	2015.6795	BUS	COMPANY						BUS			USA	RALEIGH	USA								0	035	035	03	1	7.0	6	1	6	0.9590235396687	3	Morrisville, New York, United States	US	USNY	42.8987	-75.6402	957706	3	Morrisville, New York, United States	US	USNY	42.8987	-75.6402	957706	3	Morrisville, New York, United States	US	USNY	42.8987	-75.6402	957706	20151008	http://www.newsobserver.com/news/business/article38241747.html					035	Express intent to yield, not specified below	035	Express intent to yield, not specified below	035	Express intent to yield, not specified below
459241290	20150820	201508	2015	2015.6301	PRT	PORTUGAL	PRT								BEN	BENIN	BEN								0	013	013	01	1	0.4	2	1	2	-0.37792894935752	1	Benin	BN	BN	9.5	2.25	BN	1	Benin	BN	BN	9.5	2.25	BN	1	Benin	BN	BN	9.5	2.25	BN	20150820	http://thenationonlineng.net/kabiyesi-okunade-sijuwade-waja-erin-wo-ajanaku-sun-bi-oke-1/	158	http://thenationonlineng.net/kabiyesi-okunade-sijuwade-waja-erin-wo-ajanaku-sun-bi-oke-1/	[]	['ile', 'west', 'yorubaland', 'century', 'state', 'waja', 'oba', 'kabiyesi', 'sijuwade', 'wo', 'benin', 'ife', 'oke', 'okunade', 'tiger', 'erin', 'bi', 'ooni', 'ajanaku']	013	Make optimistic comment	013	Make optimistic comment	013	Make optimistic comment
459397379	20150820	201508	2015	2015.6301	EDU	STUDENT						EDU													1	013	013	01	1	0.4	2	1	2	1.5655577299413	3	Cape Elizabeth, Maine, United States	US	USME	43.5637	-70.2001	563469	0							3	Cape Elizabeth, Maine, United States	US	USME	43.5637	-70.2001	563469	20150820	http://bangordailynews.com/2015/08/19/news/portland/south-portland-based-virtual-charter-school-grows/	159	http://bangordailynews.com/2015/08/19/news/portland/south-portland-based-virtual-charter-school-grows/	[]	['portlandbased', 'mader', 'student', 'francis', 'school', 'mca', 'work', 'public', 'south', 'charter', 'grows', 'students', 'virtual', 'traditional']	013	Make optimistic comment	013	Make optimistic comment	013	Make optimistic comment
465431117	20150910	201509	2015	2015.6849	USACOP	SAN FRANCISCO	USA					COP													0	130	130	13	3	-4.4	4	1	4	-6.66666666666667	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	0							3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20150910	http://abc7news.com/news/sf-police-make-arrest-in-anti-chinese-graffiti-case/975863/	80	http://abc7news.com/news/sf-police-make-arrest-in-anti-chinese-graffiti-case/975863/	[]	['arrest', 'case', 'arrested', 'community', 'vandalism', 'graffiti', 'san', 'hate', 'antichinese', 'neighborhood', 'schenone', 'chinese', 'francisco']	130	Threaten, not specified below	130	Threaten, not specified below	130	Threaten, not specified below
465621970	20150910	201509	2015	2015.6849	RUSGOV	RUSSIAN	RUS					GOV			USAGOV	THE WHITE HOUSE	USA					GOV			1	026	026	02	1	4.0	2	1	2	0.598802395209579	4	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20150910	http://tass.ru/en/politics/820159	353	http://tass.ru/en/politics/820159	[]	['putin', 'agenda', 'york', 'meeting', 'washington', 'peskov', 'general', 'yuri', 'white', 'russian', 'obama']	026	Appeal to others to meet or negotiate	026	Appeal to others to meet or negotiate	026	Appeal to others to meet or negotiate
484316594	20151112	201511	2015	2015.8548	GOV	GOVERNMENT						GOV			PTY	PRESIDENTIAL CANDIDATE									1	084	084	08	2	7.0	10	1	10	-3.61445783132531	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20151112	http://nation.foxnews.com/2015/11/12/dear-candidates-where-are-spending-cuts	82	http://nation.foxnews.com/2015/11/12/dear-candidates-where-are-spending-cuts	[]	['restriction', 'currently', 'geographic', 'nation', 'location', 'available', 'restrictionfox', 'fox']	084	Return, release, not specified below	084	Return, release, not specified below	084	Return, release, not specified below
488765181	20151126	201511	2015	2015.8932	CUB	CUBAN	CUB								BHS	BAHAMIAN	BHS								1	130	130	13	3	-4.4	7	1	7	-8.73180873180873	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	2	Florida, United States	US	USFL	27.8333	-81.717	FL	20151126	http://bahamaspress.com/2013/09/23/the-cuban-miami-based-democracy-movement-will-stop-at-nothing-to-continue-its-illegal-human-trafficking-ring-into-the-us%E2%80%A6/					130	Threaten, not specified below	130	Threaten, not specified below	130	Threaten, not specified below
486406826	20141119	201411	2014	2014.8740	ZWE	HARARE	ZWE								AFR	AFRICA	AFR								1	031	031	03	1	5.2	4	1	4	3.8235294117647	1	Zimbabwe	ZI	ZI	-20	30	ZI	4	Gezhouba, Hubei, China	CH	CH12	30.7408	111.255	-1906751	1	Zimbabwe	ZI	ZI	-20	30	ZI	20151119	http://www.esi-africa.com/indian-firm-to-refurbish-zims-munyati-power-station/					031	Express intent to engage in material cooperation,  not specified below	031	Express intent to engage in material cooperation,  not specified below	031	Express intent to engage in material cooperation,  not specified below
490715657	20151203	201512	2015	2015.9123	GBR	UNITED KINGDOM	GBR								GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	2	1	2	-0.625	1	Canada	CA	CA	60	-95	CA	4	Colombo, Western, Sri Lanka	CE	CE36	6.93194	79.8478	-2214877	1	Malta	MT	MT	35.8333	14.5833	MT	20151203	http://colombogazette.com/2015/12/03/president-tells-parliament-lanka-caused-world-to-split/	84	http://colombogazette.com/2015/12/03/president-tells-parliament-lanka-caused-world-to-split/	['Please Enter Your Name Here']	['community', 'human', 'parliament', 'tells', 'rights', 'caused', 'sri', 'president', 'lanka', 'split', 'world', 'past', 'countries', 'international']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
494936238	20151217	201512	2015	2015.9507	HLH	DOCTOR						HLH			VNM	VIETNAM	VNM								1	1124	112	11	3	-2.0	4	1	4	-6.98757763975155	1	Vietnam, Republic Of	VM	VM	16	106	VM	1	Vietnam, Republic Of	VM	VM	16	106	VM	1	Vietnam, Republic Of	VM	VM	16	106	VM	20151217	http://www.timesheraldonline.com/general-news/20151216/attorney-to-prove-vallejo-man-legally-insane-during-shooting	355	http://www.timesheraldonline.com/general-news/20151216/attorney-to-prove-vallejo-man-legally-insane-during-shooting	['Irma Widjojo']	['vallejo', 'hes', 'man', 'legally', 'state', 'killing', 'shooting', 'insane', 'men', 'prove', 'minagawa', 'attorney', 'murder', 'hohenegger']	1124	Accuse of war crimes	1124	Accuse of war crimes	1124	Accuse of war crimes
490654048	20151203	201512	2015	2015.9123	MNCUSA	WELLS FARGO	USA					MNC			ISR	ISRAEL	ISR								0	071	071	07	2	7.4	2	1	2	-5.28455284552845	1	Israel	IS	IS	31.5	34.75	IS	3	Sacramento, California, United States	US	USCA	38.5816	-121.494	1659564	1	Israel	IS	IS	31.5	34.75	IS	20151203	http://www.kste.com/articles/kfbk-news-461777/family-and-city-mourns-after-the-14170447					071	Provide economic aid	071	Provide economic aid	071	Provide economic aid
495052496	20151217	201512	2015	2015.9507	CAN	CANADA	CAN								GOV	MAYOR						GOV			1	040	040	04	1	1.0	1	1	1	3.27380952380952	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	4	Montreal, Quebec, Canada	CA	CA10	45.5	-73.5833	-569541	20151217	http://www.news1130.com/2015/12/16/vancouver-city-hall-to-welcome-justin-trudeau/	86	http://www.news1130.com/2015/12/16/vancouver-city-hall-to-welcome-justin-trudeau/	[]	['vancouver', 'telford', 'hall', 'minister', 'likely', 'trudeau', 'going', 'welcome', 'city', 'prime', 'visit', 'justin', 'seats', 'urban']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
510581804	20160211	201602	2016	2016.1123	DEUGOV	GERMANY	DEU					GOV			MIL	MILITARY						MIL			0	138	138	13	3	-7.0	10	1	10	-5.20361990950226	1	Germany	GM	GM	51	9	GM	4	Aleppo, ?alab, Syria	SY	SY09	36.2028	37.1586	-2541857	1	Germany	GM	GM	51	9	GM	20160211	http://nysepost.com/aid-group-409-migrants-have-died-in-mediterranean-in-2016-121660					138	Threaten to use military force, not specified below	138	Threaten to use military force, not specified below	138	Threaten to use military force, not specified below
515260597	20160225	201602	2016	2016.1507	BUS	COMPANIES						BUS			GOV	GOVERNMENT						GOV			1	112	112	11	3	-2.0	2	1	2	-2.48618784530387	1	Netherlands	NL	NL	52.5	5.75	NL	1	Netherlands	NL	NL	52.5	5.75	NL	4	Paris, RhôAlpes, France	FR	FRB9	45.6333	5.73333	-1445327	20160225	http://www.msn.com/en-us/money/topstories/quit-apologizing-world-needs-fossil-fuels-saudis-tell-oilmen/ar-BBpVPHk					112	Accuse, not specified below	112	Accuse, not specified below	112	Accuse, not specified below
504321872	20160121	201601	2016	2016.0575	GIN	GUINEA	GIN								MRT	MAURITANIAN	MRT								1	174	174	17	4	-5.0	20	2	20	-8.24082639531298	4	Nouakchott, Trarza, Mauritania	MR	MR06	18.1194	-16.0406	-1402901	4	Nouakchott, Trarza, Mauritania	MR	MR06	18.1194	-16.0406	-1402901	4	Nouakchott, Trarza, Mauritania	MR	MR06	18.1194	-16.0406	-1402901	20160121	http://www.apanews.net/news/en/article.php?id=843987					174	Expel or deport individuals	174	Expel or deport individuals	174	Expel or deport individuals
506580552	20160128	201601	2016	2016.0767											USA	UNITED STATES	USA								1	040	040	04	1	1.0	2	1	2	3.41880341880341	0							3	Rockville, Maryland, United States	US	USMD	39.084	-77.1528	586901	3	Rockville, Maryland, United States	US	USMD	39.084	-77.1528	586901	20160128	http://www.amherstbulletin.com/news/20718683-95/network-amherst	87	http://www.amherstbulletin.com/news/20718683-95/network-amherst	[]	['learning', 'mlk', 'jersey', 'meeting', 'taxes', 'lots', 'feb', 'snow', 'rockville', 'awards', 'rep', 'program', 'estate', 'reminder', 'hold', 'retirement', 'college', 'real', 'sent', 'presented']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
519750665	20160209	201602	2016	2016.1068	BUS	CORPORATION						BUS			USAMED	REUTERS	USA					MED			1	013	013	01	1	0.4	5	4	5	-1.16332224154533	1	China	CH	CH	35	105	CH	4	Tindouf, Tindouf, Algeria	AG	AG54	27.6711	-8.14744	-489674	4	Tindouf, Tindouf, Algeria	AG	AG54	27.6711	-8.14744	-489674	20160310	http://www.zawya.com/story/Algeria_in_talks_with_China_over_iron_mining_project-TR20160310nL5N16I2TRX2/	162	http://www.zawya.com/story/Algeria_in_talks_with_China_over_iron_mining_project-TR20160310nL5N16I2TRX2/	[]	['error']	013	Make optimistic comment	013	Make optimistic comment	013	Make optimistic comment
512891231	20160218	201602	2016	2016.1315	USA	UNITED STATES	USA																		1	040	040	04	1	1.0	8	1	8	-9.25925925925922	3	Eddy County, New Mexico, United States	US	USNM	32.8757	-104.751	936829	0							3	Eddy County, New Mexico, United States	US	USNM	32.8757	-104.751	936829	20160218	http://www.abqjournal.com/725630/news/new-mexico-city-bans-feeding-of-pigeons-violators-face-jail.html	90	http://www.abqjournal.com/725630/news/new-mexico-city-bans-feeding-of-pigeons-violators-face-jail.html	['Associated Press']	['pigeons', 'face', 'bans', 'feeding', 'carlsbad', 'mexico', 'jail', 'woods', 'ordinance', 'residents', 'risks', 'recently', 'timeeddy', 'city', 'violators', 'reports']	040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
484133152	20151112	201511	2015	2015.8548	ISL	ICELAND	ISL																		1	071	071	07	2	7.4	5	1	5	-1.2396694214876	1	Iceland	IC	IC	65	-18	IC	0							1	Iceland	IC	IC	65	-18	IC	20151112	http://www.icenews.is/2009/08/06/iceland-to-ease-capital-controls-in-stages/	278	http://www.icenews.is/2009/08/06/iceland-to-ease-capital-controls-in-stages/	[]	['usd', 'stages', 'place', 'lifted', 'controls', 'ease', 'plan', 'yesterday', 'economy', 'imf', 'icelands', 'bank', 'capital', 'iceland']	071	Provide economic aid	071	Provide economic aid	071	Provide economic aid
521854214	20160317	201603	2016	2016.2110	CUB	CUBAN	CUB								USABUS	UNITED STATES	USA					BUS			0	040	040	04	1	1.0	5	1	5	1.09170305676856	1	Cuba	CU	CU	21.5	-80	CU	3	Miami, Florida, United States	US	USFL	25.7743	-80.1937	295004	1	Cuba	CU	CU	21.5	-80	CU	20160317	http://ambienteja.info/2016/03/17/libyas-presidential-council-calls-for-transfer-of-power-to.html					040	Consult, not specified below	040	Consult, not specified below	040	Consult, not specified below
