globaleventid	sqldate	monthyear	year	fractiondate	actor1code	actor1name	actor1countrycode	actor1knowngroupcode	actor1ethniccode	actor1religion1code	actor1religion2code	actor1type1code	actor1type2code	actor1type3code	actor2code	actor2name	actor2countrycode	actor2knowngroupcode	actor2ethniccode	actor2religion1code	actor2religion2code	actor2type1code	actor2type2code	actor2type3code	isrootevent	eventcode	eventbasecode	eventrootcode	quadclass	goldsteinscale	nummentions	numsources	numarticles	avgtone	actor1geo_type	actor1geo_fullname	actor1geo_countrycode	actor1geo_adm1code	actor1geo_lat	actor1geo_long	actor1geo_featureid	actor2geo_type	actor2geo_fullname	actor2geo_countrycode	actor2geo_adm1code	actor2geo_lat	actor2geo_long	actor2geo_featureid	actiongeo_type	actiongeo_fullname	actiongeo_countrycode	actiongeo_adm1code	actiongeo_lat	actiongeo_long	actiongeo_featureid	dateadded	sourceurl	record	url	authors	keywords	eventcode_1	eventdesc_1	eventbase	eventbasedesc	eventroot	eventrootdesc
512889110	20160218	201602	2016	2016.1315	BUS	BOSS						BUS													0	070	070	07	2	7.0	4	1	4	-1.93570687867266	5	Plateau State, Plateau, Nigeria	NI	NI49	9.16667	9.75	-2024992	0							5	Plateau State, Plateau, Nigeria	NI	NI49	9.16667	9.75	-2024992	20160218	http://www.punchng.com/obsolete-equipment-bane-of-nigerian-research-institutes/	293	http://www.punchng.com/obsolete-equipment-bane-of-nigerian-research-institutes/	[]	['institute', 'national', 'research', 'funding', 'researchers', 'bane', 'newspapers', 'punch', 'federal', 'equipment', 'nigeria', 'staff', 'obsolete', 'nigerian', 'institutes']	070	Provide aid, not specified below	070	Provide aid, not specified below	070	Provide aid, not specified below
433255351	20150514	201505	2015	2015.3671	IRN	IRAN	IRN								LEG	CONGRESS						LEG			1	173	173	17	4	-5.0	8	1	8	-0.96153846153847	4	Dishmuk, Kohgiluyeh va Buyer A?mad, Iran	IR	IR05	31.2975	50.399	-3061232	4	Dishmuk, Kohgiluyeh va Buyer A?mad, Iran	IR	IR05	31.2975	50.399	-3061232	4	Dishmuk, Kohgiluyeh va Buyer A?mad, Iran	IR	IR05	31.2975	50.399	-3061232	20150514	Vision of the Islamic Republic of Iran Kohkiluyeh-Boyer Ahmad TV, Yasuj/BBC Monitoring/(c) BBC					173	Arrest, detain, or charge with legal action 	173	Arrest, detain, or charge with legal action 	173	Arrest, detain, or charge with legal action 
433263954	20150514	201505	2015	2015.3671	USA	UNITED STATES	USA																		1	043	043	04	1	2.8	8	2	8	1.57625607164542	3	Buckhead, Georgia, United States	US	USGA	31.7938	-81.1295	331272	0							3	Buckhead, Georgia, United States	US	USGA	31.7938	-81.1295	331272	20150514	http://www.digitaljournal.com/pr/2554114	387	http://www.digitaljournal.com/pr/2554114	[]	['community', 'business', 'franchise', 'franchising', 'squire', 'radio', 'hosts', 'special', 'buckhead', 'development', 'sba', 'training', 'edition']	043	Host a visit	043	Host a visit	043	Host a visit
435086436	20150521	201505	2015	2015.3863	AFR	AFRICA	AFR																		1	173	173	17	4	-5.0	1	1	1	-4.43864229765013	1	United States	US	US	38	-97	US	0							1	South Africa	SF	SF	-29	24	SF	20150521	http://www.huffingtonpost.com/nicole-moore/dear-chris-brown-mentally_b_7337476.html	388	http://www.huffingtonpost.com/nicole-moore/dear-chris-brown-mentally_b_7337476.html	['Founder', 'Editor Of Thehotness.Com']	['ayeb', 'times', 'black', 'lay', 'way', 'dear', 'good', 'woman', 'letter', 'women', 'ill', 'need', 'men', 'depression', 'counseling', 'ms', 'know', 'open', 'mentally']	173	Arrest, detain, or charge with legal action 	173	Arrest, detain, or charge with legal action 	173	Arrest, detain, or charge with legal action 
449764355	20150716	201507	2015	2015.5370	LAB	EMPLOYEE						LAB			COP	DEPUTY						COP			1	0874	087	08	2	10.0	12	2	12	-9.79967463680387	3	Antrim County, Michigan, United States	US	USMI	45.05	-85.1334	1622947	3	Antrim County, Michigan, United States	US	USMI	45.05	-85.1334	1622947	3	Antrim County, Michigan, United States	US	USMI	45.05	-85.1334	1622947	20150716	http://www.record-eagle.com/news/local_news/man-charged-with-armed-robbery-at-kohl-s/article_d218afec-ac05-5569-b9b6-4fec0593e092.html	394	http://www.record-eagle.com/news/local_news/man-charged-with-armed-robbery-at-kohl-s/article_d218afec-ac05-5569-b9b6-4fec0593e092.html	['Matt Troutman Mtroutman Record-Eagle.Com']	['charged', 'skies', 'robbery', 'mi', 'kohls', 'way', 'cloudy', 'mph', 'traverse', 'snow', 'nw', 'armed', 'morning', 'winds', 'man']	0874	Retreat or surrender militarily	0874	Retreat or surrender militarily	0874	Retreat or surrender militarily
451460335	20150723	201507	2015	2015.5562	COPMED	POLICE						COP	MED												0	016	016	01	1	-2.0	20	1	20	-8.20610687022901	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20150723	http://cdanews.com/2015/07/suicide-bombing-kills-dozens-near-afghanistan-market/					016	Deny responsibility	016	Deny responsibility	016	Deny responsibility
451488140	20150723	201507	2015	2015.5562	AUS	PERTH	AUS																		0	043	043	04	1	2.8	3	1	3	-5.32544378698225	4	Galway Bay, Galway, Ireland	EI	EI10	53.1997	-9.23028	-1502952	0							4	Galway Bay, Galway, Ireland	EI	EI10	53.1997	-9.23028	-1502952	20150723	http://www.perthnow.com.au/news/western-australia/family-of-irishman-thomas-keaney-killed-by-cowards-punch-in-perth-upset-by-sentence/story-fnhocxo3-1227453802351?nk=0e64ca0e62c26426f3719be31d514b05-1437618733					043	Host a visit	043	Host a visit	043	Host a visit
453660658	20150730	201507	2015	2015.5753	JUD	DISTRICT COURT						JUD			COP	PRISON						COP			1	173	173	17	4	-5.0	10	1	10	-8.87096774193548	4	Yong Wang, Jiangsu, China	CH	CH04	34.8574	119.002	11265812	4	Yong Wang, Jiangsu, China	CH	CH04	34.8574	119.002	11265812	4	Yong Wang, Jiangsu, China	CH	CH04	34.8574	119.002	11265812	20150730	http://www.tmz.com/2014/04/24/yong-wang-prison-sentence-child-pornography/	399	http://www.tmz.com/2014/04/24/yong-wang-prison-sentence-child-pornography/	[]	['young', 'nickname', 'sites', 'running', 'empire', 'child', 'wang', 'prison', 'work', 'york', 'yong', 'gets', 'pornographer', 'porn', 'worst', '17', 'sentence']	173	Arrest, detain, or charge with legal action 	173	Arrest, detain, or charge with legal action 	173	Arrest, detain, or charge with legal action 
463306900	20150903	201509	2015	2015.6658	AUS	AUSTRALIA	AUS																		1	120	120	12	3	-4.0	5	1	5	-2.64705882352941	5	Northern Territory, Northern Territory, Australia	AS	AS03	-20	134	-1592100	0							5	Northern Territory, Northern Territory, Australia	AS	AS03	-20	134	-1592100	20150903	http://www.businessinsider.com.au/here-comes-australian-retail-sales-2015-9/	280	http://www.businessinsider.com.au/here-comes-australian-retail-sales-2015-9/	['David Scutt']	['states', 'retailing', 'australia', 'australian', '03', 'business', 'spending', 'south', 'fall', 'sales', '02', 'retail']	120	Reject, not specified below	120	Reject, not specified below	120	Reject, not specified below
467595524	20150917	201509	2015	2015.7041	FRA	FRANCE	FRA								EDU	STUDENT						EDU			0	025	025	02	1	-0.3	4	1	4	0.716845878136199	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	1	France	FR	FR	46	2	FR	20150917	http://www.dailyheraldtribune.com/2015/09/16/out-of-province-hires-meet-districts-needs					025	Appeal to yield	025	Appeal to yield	025	Appeal to yield
